rosbagTimestamp,x,y,z
1665749922862780932,1966.0,2704.0,1300.0
1665749922923790693,1966.0,2704.0,1300.0
1665749922985074436,1966.0,2704.0,1300.0
1665749923046106790,1966.0,2704.0,1300.0
1665749923106665032,1966.0,2704.0,1300.0
1665749923168249854,1966.0,2704.0,1300.0
1665749923229579741,1966.0,2704.0,1300.0
1665749923290438934,1966.0,2704.0,1300.0
1665749923351610359,1966.0,2704.0,1300.0
1665749923415184619,1935.0,2772.0,1430.0
1665749923476820973,1924.0,2810.0,1330.0
1665749923571188330,1935.0,2772.0,1430.0
1665749924060109978,1970.0,2765.0,1453.0
1665749924154342618,1963.0,2773.0,1465.0
1665749924649126757,1968.0,2732.0,1507.0
1665749924711717520,1935.0,2717.0,1491.0
1665749924773986029,1956.0,2725.0,1487.0
1665749924838239846,1942.0,2739.0,1495.0
1665749924900549879,1994.0,2777.0,1472.0
1665749924962398734,1949.0,2770.0,1462.0
1665749925025603402,1958.0,2719.0,1461.0
1665749925089009467,1980.0,2735.0,1465.0
1665749925154290792,1953.0,2800.0,1465.0
1665749925218294504,1970.0,2783.0,1393.0
1665749925280457349,1966.0,2797.0,1431.0
1665749925341603524,1927.0,2781.0,1452.0
1665749925404800905,1956.0,2778.0,1427.0
1665749925465765540,1935.0,2808.0,1373.0
1665749925532182266,1957.0,2827.0,1339.0
1665749925597043706,1950.0,2825.0,1362.0
1665749925661648702,1957.0,2794.0,1352.0
1665749925726883537,1944.0,2824.0,1306.0
1665749925788175772,1981.0,2776.0,1432.0
1665749925849501745,1953.0,2830.0,1339.0
1665749925910169508,1953.0,2792.0,1362.0
1665749925972156129,1966.0,2802.0,1378.0
1665749926047564316,1965.0,2785.0,1355.0
1665749926111097362,1957.0,2794.0,1352.0
1665749926175044163,1958.0,2804.0,1377.0
1665749926240183633,1943.0,2802.0,1496.0
1665749926306522002,1940.0,2782.0,1445.0
1665749926369260892,1937.0,2872.0,1291.0
1665749926439616745,1942.0,2829.0,1363.0
1665749926502157246,1987.0,2788.0,1446.0
1665749926565680859,1952.0,2781.0,1397.0
1665749926628415267,1965.0,2804.0,1421.0
1665749926689685343,1966.0,2821.0,1487.0
1665749926752789627,2000.0,2827.0,1393.0
1665749926815726561,1932.0,2764.0,1408.0
1665749926878253121,1966.0,2768.0,1468.0
1665749926940202756,1972.0,2809.0,1441.0
1665749927003948356,1952.0,2762.0,1439.0
1665749927066479888,1940.0,2781.0,1427.0
1665749927127642703,1962.0,2813.0,1416.0
1665749927189456169,1933.0,2810.0,1415.0
1665749927251472234,1936.0,2734.0,1470.0
1665749927313667338,1916.0,2756.0,1475.0
1665749927374721917,1943.0,2760.0,1455.0
1665749927436852985,1939.0,2770.0,1528.0
1665749927500100689,1943.0,2760.0,1455.0
1665749927562552368,1928.0,2751.0,1448.0
1665749927623484162,1953.0,2784.0,1382.0
1665749927687305561,1931.0,2770.0,1486.0
1665749927748987347,1952.0,2809.0,1388.0
1665749927810612998,1968.0,2826.0,1429.0
1665749927874009837,1989.0,2825.0,1357.0
1665749927936308472,1980.0,2788.0,1445.0
1665749927999230241,2005.0,2867.0,1378.0
1665749928060853333,1990.0,2825.0,1420.0
1665749928556469234,1923.0,2775.0,1467.0
1665749928619249935,1923.0,2775.0,1467.0
1665749928680956455,1960.0,2749.0,1438.0
1665749928743427465,1946.0,2745.0,1462.0
1665749928805803797,1939.0,2761.0,1389.0
1665749928869015735,1961.0,2762.0,1459.0
1665749928930308209,1938.0,2724.0,1423.0
1665749928991178502,1939.0,2740.0,1447.0
1665749929053313660,1967.0,2789.0,1321.0
1665749929114862141,1951.0,2729.0,1420.0
1665749929177166357,1953.0,2744.0,1448.0
1665749929238584613,1952.0,2791.0,1376.0
1665749929302193069,1955.0,2763.0,1472.0
1665749929364916987,1951.0,2762.0,1407.0
1665749929427382545,1928.0,2768.0,1413.0
1665749929488746151,1953.0,2744.0,1448.0
1665749929551186459,1930.0,2734.0,1455.0
1665749929613532722,1955.0,2835.0,1328.0
1665749929676488025,1983.0,2861.0,1307.0
1665749929739321836,1966.0,2811.0,1457.0
1665749929801391805,1981.0,2825.0,1340.0
1665749929864266219,1990.0,2834.0,1365.0
1665749929925844496,1981.0,2825.0,1340.0
1665749929989392311,1943.0,2798.0,1473.0
1665749930067134363,1981.0,2825.0,1340.0
1665749930129400564,1958.0,2752.0,1457.0
1665749930192456307,1959.0,2828.0,1429.0
1665749930255460624,1955.0,2783.0,1404.0
1665749930319014540,1956.0,2790.0,1409.0
1665749930382874833,1938.0,2748.0,1493.0
1665749930473868798,1956.0,2790.0,1409.0
1665749930536273177,1964.0,2798.0,1439.0
1665749930599793478,1947.0,2777.0,1391.0
1665749930663378758,1969.0,2740.0,1471.0
1665749930720721214,1954.0,2814.0,1394.0
1665749930781192247,1978.0,2764.0,1448.0
1665749930844127215,1961.0,2800.0,1403.0
1665749930906255465,1953.0,2789.0,1449.0
1665749930970431594,1991.0,2815.0,1437.0
1665749931031062085,1958.0,2792.0,1446.0
1665749931094359320,1978.0,2804.0,1435.0
1665749931170964219,1961.0,2830.0,1439.0
1665749931232757950,1935.0,2790.0,1481.0
1665749931308961272,1966.0,2802.0,1378.0
1665749931371230044,1954.0,2782.0,1415.0
1665749931458438475,1980.0,2794.0,1391.0
1665749931522017822,1932.0,2815.0,1363.0
1665749932018170074,1970.0,2801.0,1411.0
1665749932097619026,1949.0,2741.0,1440.0
1665749932159557621,1958.0,2757.0,1456.0
1665749932222428329,1964.0,2798.0,1439.0
1665749932284956391,1913.0,2804.0,1373.0
1665749932347570964,1939.0,2758.0,1418.0
1665749932409772944,1934.0,2822.0,1340.0
1665749932473274615,1942.0,2772.0,1423.0
1665749932537166160,1949.0,2767.0,1408.0
1665749932601377697,1937.0,2795.0,1425.0
1665749932667181506,1961.0,2819.0,1327.0
1665749933159437266,1963.0,2775.0,1468.0
1665749933222762205,1997.0,2788.0,1408.0
1665749933286610097,1959.0,2792.0,1457.0
1665749933349510346,1960.0,2829.0,1295.0
1665749933410873163,1960.0,2748.0,1415.0
1665749933488975995,1980.0,2836.0,1389.0
1665749933552663537,1949.0,2780.0,1412.0
1665749933616482415,1964.0,2792.0,1371.0
1665749933679947574,1943.0,2788.0,1458.0
1665749933741492185,1954.0,2782.0,1415.0
1665749933803572839,1944.0,2824.0,1306.0
1665749933867508940,1968.0,2850.0,1323.0
1665749933928551146,1975.0,2820.0,1380.0
1665749933989518180,1953.0,2830.0,1339.0
1665749934051763020,1954.0,2782.0,1415.0
1665749934126226367,1983.0,2767.0,1390.0
1665749934203288874,1961.0,2763.0,1439.0
1665749934267413879,1970.0,2800.0,1352.0
1665749934332558100,1941.0,2823.0,1381.0
1665749934397438840,1948.0,2834.0,1339.0
1665749934458124854,1947.0,2777.0,1391.0
1665749934522415939,1979.0,2814.0,1367.0
1665749935018883695,1969.0,2752.0,1452.0
1665749935081549674,1957.0,2756.0,1477.0
1665749935146224446,1964.0,2700.0,1434.0
1665749935208406817,1941.0,2792.0,1384.0
1665749935271526784,1938.0,2789.0,1412.0
1665749935333974226,1941.0,2792.0,1384.0
1665749935396236956,1928.0,2742.0,1410.0
1665749935459444831,1949.0,2792.0,1370.0
1665749935521131092,1980.0,2809.0,1377.0
1665749935582847896,1939.0,2779.0,1452.0
1665749935644364475,1986.0,2849.0,1252.0
1665749935705999923,1957.0,2876.0,1288.0
1665749935769605679,1970.0,2815.0,1433.0
1665749935830345765,1966.0,2832.0,1283.0
1665749935892758059,1939.0,2772.0,1394.0
1665749935956214565,1954.0,2814.0,1394.0
1665749936019984112,1954.0,2814.0,1394.0
1665749936080990151,1980.0,2771.0,1444.0
1665749936144077090,1919.0,2810.0,1439.0
1665749936205618715,1983.0,2861.0,1307.0
1665749936268490123,1981.0,2825.0,1340.0
1665749936330378360,1958.0,2760.0,1477.0
1665749936390910194,1957.0,2757.0,1475.0
1665749936463603244,1979.0,2815.0,1422.0
1665749936523835549,1982.0,2774.0,1422.0
1665749936585807592,1983.0,2861.0,1307.0
1665749936649081877,1970.0,2859.0,1288.0
1665749936710437843,1981.0,2825.0,1340.0
1665749936771574568,1957.0,2757.0,1475.0
1665749936834049442,1990.0,2803.0,1475.0
1665749936896014477,1952.0,2781.0,1397.0
1665749936956692779,1951.0,2820.0,1418.0
1665749937018736086,1940.0,2782.0,1445.0
1665749937080423571,1965.0,2804.0,1421.0
1665749937573566940,1977.0,2765.0,1414.0
1665749937636613212,1962.0,2762.0,1445.0
1665749937700352891,1950.0,2773.0,1455.0
1665749937762841592,1964.0,2740.0,1404.0
1665749937824338634,1964.0,2783.0,1331.0
1665749937887033467,1992.0,2835.0,1357.0
1665749937966378263,1950.0,2773.0,1455.0
1665749938027024809,1962.0,2762.0,1445.0
1665749938087589230,1999.0,2799.0,1458.0
1665749938149099843,1997.0,2788.0,1408.0
1665749938208341939,1954.0,2812.0,1339.0
1665749938270307991,1995.0,2783.0,1357.0
1665749938332212729,1980.0,2836.0,1389.0
1665749938393779333,1987.0,2760.0,1353.0
1665749938455474505,2004.0,2792.0,1400.0
1665749938517697258,1979.0,2771.0,1395.0
1665749938580758404,1979.0,2884.0,1290.0
1665749938643502020,2000.0,2762.0,1399.0
1665749938705819412,1957.0,2770.0,1425.0
1665749938783411240,1969.0,2813.0,1383.0
1665749938845086476,1958.0,2775.0,1415.0
1665749938906795987,1957.0,2756.0,1477.0
1665749938969279429,1970.0,2709.0,1473.0
1665749939031196105,1977.0,2819.0,1415.0
