rosbagTimestamp,x,y,z
1665750851560788163,2917.0,2774.0,720.0
1665750851619643234,2917.0,2774.0,720.0
1665750851679782111,2917.0,2774.0,720.0
1665750851735595869,2917.0,2774.0,720.0
1665750851791439377,2917.0,2774.0,720.0
1665750851851765764,2917.0,2774.0,720.0
1665750851913677994,2917.0,2774.0,720.0
1665750851974128780,2917.0,2774.0,720.0
1665750852035831741,2917.0,2774.0,720.0
1665750852098040532,2920.0,2776.0,717.0
1665750852160635099,2920.0,2775.0,718.0
1665750852223666591,2923.0,2776.0,717.0
1665750852286251987,2924.0,2776.0,721.0
1665750852347385945,2923.0,2775.0,723.0
1665750852410470533,2924.0,2773.0,723.0
1665750852471320578,2925.0,2774.0,724.0
1665750852534713424,2925.0,2775.0,723.0
1665750852597398247,2927.0,2774.0,724.0
1665750852660472511,2928.0,2775.0,721.0
1665750852723124310,2929.0,2775.0,719.0
1665750852784872662,2931.0,2777.0,717.0
1665750852847006801,2931.0,2778.0,714.0
1665750852906702117,2930.0,2778.0,713.0
1665750852970585316,2930.0,2780.0,710.0
1665750853034389018,2930.0,2782.0,708.0
1665750853095194179,2931.0,2782.0,708.0
1665750853156738121,2931.0,2784.0,707.0
1665750853218414487,2929.0,2785.0,708.0
1665750853279938427,2927.0,2784.0,710.0
1665750853342126857,2925.0,2785.0,712.0
1665750853403688897,2924.0,2786.0,712.0
1665750853465512146,2923.0,2786.0,713.0
1665750853526686571,2923.0,2787.0,715.0
1665750853587260511,2922.0,2786.0,716.0
1665750853647645250,2920.0,2786.0,717.0
1665750853709992439,2919.0,2785.0,718.0
1665750853771774153,2918.0,2785.0,720.0
1665750853833942842,2917.0,2786.0,721.0
1665750853910294635,2916.0,2785.0,721.0
1665750853973267621,2915.0,2784.0,722.0
1665750854035225516,2915.0,2783.0,723.0
1665750854112428236,2914.0,2782.0,723.0
1665750854189427380,2914.0,2782.0,724.0
1665750854251953260,2913.0,2781.0,724.0
1665750854313235719,2914.0,2781.0,725.0
1665750854375917639,2914.0,2780.0,726.0
1665750854436586468,2914.0,2780.0,728.0
1665750854500232227,2914.0,2780.0,728.0
1665750854564061447,2915.0,2779.0,729.0
1665750854625815853,2915.0,2779.0,730.0
1665750854686954972,2915.0,2779.0,730.0
1665750854750749238,2915.0,2778.0,731.0
1665750854813583897,2915.0,2778.0,731.0
1665750854878892420,2915.0,2777.0,731.0
1665750854942821528,2916.0,2778.0,731.0
1665750855008353755,2917.0,2778.0,730.0
1665750855072608858,2917.0,2778.0,730.0
1665750855133807575,2917.0,2778.0,729.0
1665750855196191723,2917.0,2778.0,730.0
1665750855256367754,2917.0,2777.0,730.0
1665750855317830889,2918.0,2778.0,729.0
1665750855379631953,2918.0,2779.0,728.0
1665750855456384256,2918.0,2779.0,727.0
1665750855517315565,2919.0,2780.0,725.0
1665750855580091904,2920.0,2781.0,724.0
1665750855644571115,2920.0,2781.0,724.0
1665750855730791640,2920.0,2781.0,724.0
1665750855796266349,2920.0,2781.0,724.0
1665750855859308012,2920.0,2782.0,725.0
1665750855921218653,2919.0,2782.0,726.0
1665750855983473014,2919.0,2783.0,725.0
1665750856047059636,2919.0,2783.0,725.0
1665750856111677976,2919.0,2784.0,725.0
1665750856620423739,2919.0,2785.0,725.0
1665750856682200384,2919.0,2785.0,724.0
1665750856742878683,2919.0,2785.0,724.0
1665750856804700944,2920.0,2785.0,724.0
1665750856867339667,2920.0,2785.0,725.0
1665750856929292744,2920.0,2785.0,725.0
1665750856992635859,2920.0,2785.0,724.0
1665750857054715500,2921.0,2785.0,724.0
1665750857115591997,2921.0,2785.0,724.0
1665750857175892709,2921.0,2785.0,724.0
1665750857237818703,2921.0,2785.0,723.0
1665750857299420704,2922.0,2785.0,723.0
1665750857362592792,2922.0,2785.0,723.0
1665750857424474212,2922.0,2786.0,723.0
1665750857485344899,2922.0,2786.0,722.0
1665750857546841097,2922.0,2786.0,722.0
1665750857611754581,2922.0,2786.0,722.0
1665750857672912440,2922.0,2786.0,722.0
1665750857734806244,2922.0,2786.0,722.0
1665750857795527006,2922.0,2786.0,722.0
1665750857859001909,2923.0,2786.0,721.0
1665750857920993663,2922.0,2787.0,722.0
1665750857984636957,2922.0,2786.0,721.0
1665750858046377831,2922.0,2786.0,721.0
1665750858108557954,2922.0,2786.0,721.0
1665750858171729015,2922.0,2786.0,721.0
1665750858233804470,2922.0,2787.0,721.0
1665750858296318376,2922.0,2787.0,721.0
1665750858358809189,2922.0,2787.0,721.0
1665750858421236032,2922.0,2788.0,720.0
1665750858482488212,2922.0,2788.0,720.0
1665750858547384309,2922.0,2789.0,719.0
1665750858610969634,2922.0,2790.0,719.0
1665750858686083806,2922.0,2790.0,719.0
1665750858749383058,2922.0,2790.0,719.0
1665750858812805712,2922.0,2790.0,720.0
1665750858888301752,2922.0,2791.0,719.0
1665750858949035178,2922.0,2791.0,719.0
1665750859012659213,2923.0,2791.0,719.0
1665750859074993420,2923.0,2791.0,719.0
1665750859140459977,2923.0,2791.0,718.0
1665750859204041298,2923.0,2792.0,718.0
1665750859268180225,2923.0,2792.0,718.0
1665750859334573852,2923.0,2792.0,718.0
1665750859398391815,2923.0,2792.0,718.0
1665750859461210937,2923.0,2792.0,717.0
1665750859523052735,2923.0,2792.0,717.0
1665750859584428600,2923.0,2792.0,717.0
1665750859646579996,2923.0,2793.0,717.0
1665750859708321975,2923.0,2793.0,717.0
1665750859771076135,2923.0,2793.0,716.0
1665750860276459805,2923.0,2793.0,716.0
1665750860341709644,2923.0,2793.0,717.0
1665750860405319467,2923.0,2794.0,717.0
1665750860467685884,2923.0,2794.0,717.0
1665750860531019909,2923.0,2794.0,717.0
1665750860591946333,2923.0,2794.0,717.0
1665750861093948738,2922.0,2794.0,717.0
1665750861155464672,2923.0,2794.0,717.0
1665750861220539943,2923.0,2794.0,716.0
1665750861285664982,2923.0,2793.0,717.0
1665750861348130409,2923.0,2793.0,717.0
1665750861410156050,2923.0,2793.0,716.0
1665750861471169527,2923.0,2794.0,716.0
1665750861532416706,2923.0,2794.0,716.0
1665750861594210172,2923.0,2793.0,716.0
1665750861654400478,2923.0,2793.0,717.0
1665750861731659121,2923.0,2793.0,717.0
1665750861793169384,2923.0,2793.0,717.0
1665750861854075718,2923.0,2793.0,717.0
1665750861915556868,2923.0,2793.0,717.0
1665750861976583882,2923.0,2793.0,716.0
1665750862037310148,2924.0,2793.0,717.0
1665750862099223255,2924.0,2793.0,717.0
1665750862161432354,2924.0,2793.0,717.0
1665750862222582494,2924.0,2793.0,717.0
1665750862283264293,2924.0,2793.0,717.0
1665750862344875703,2924.0,2793.0,717.0
1665750862406389805,2924.0,2793.0,717.0
1665750862466119820,2924.0,2793.0,717.0
1665750862526336347,2925.0,2793.0,717.0
1665750862587438519,2924.0,2793.0,716.0
1665750862647830435,2924.0,2793.0,716.0
1665750863140731075,2924.0,2793.0,716.0
1665750863201352980,2924.0,2793.0,716.0
1665750863262824694,2924.0,2793.0,717.0
1665750863339858858,2924.0,2793.0,718.0
1665750863400169348,2924.0,2792.0,719.0
1665750863461399321,2924.0,2792.0,719.0
1665750863522580620,2923.0,2792.0,720.0
1665750863582783646,2923.0,2792.0,721.0
1665750863643767312,2923.0,2791.0,722.0
1665750863705937542,2923.0,2791.0,722.0
1665750863768167634,2923.0,2791.0,722.0
1665750863830816614,2923.0,2791.0,722.0
1665750863891334963,2924.0,2791.0,722.0
1665750863952927105,2923.0,2791.0,722.0
1665750864014352699,2924.0,2791.0,721.0
1665750864076107957,2924.0,2791.0,721.0
1665750864152780575,2924.0,2791.0,721.0
1665750864214338100,2924.0,2791.0,721.0
1665750864275526045,2924.0,2791.0,720.0
1665750864336484701,2924.0,2791.0,720.0
1665750864397706856,2924.0,2791.0,719.0
1665750864458862782,2924.0,2792.0,719.0
1665750864519224652,2924.0,2792.0,719.0
1665750864580006419,2924.0,2792.0,720.0
1665750864642057251,2924.0,2792.0,720.0
1665750864702524227,2924.0,2792.0,720.0
